Start: (A9, B1)
Step 0: (A9, B1)
Step 1: (A9, B2)
Step 2: (A9, B3)
Step 3: (A9, B4)
Step 4: (A9, B5)
Step 5: (A9, B6)
Step 6: (A9, B7)
Step 7: (A8, B7)
Step 8: (A8, B6)
Step 9: (A8, B5)
Step 10: (A8, B4)
Step 11: (A8, B3)
Step 12: (A8, B2)
Step 13: (A8, B1)
Step 14: (A7, B1)
Step 15: (A7, B2)
Step 16: (A7, B3)
Step 17: (A7, B4)
Step 18: (A7, B5)
Step 19: (A7, B6)
Step 20: (A7, B7)
Step 21: (A6, B7)
Step 22: (A6, B6)
Step 23: (A6, B5)
Step 24: (A6, B4)
Step 25: (A6, B3)
Step 26: (A6, B2)
Step 27: (A6, B1)
Step 28: (A5, B1)
Step 29: (A5, B2)
Step 30: (A6, B2)
Step 31: (A6, B3)
Step 32: (A6, B4)
Step 33: (A5, B4)
Step 34: (A5, B5)
Step 35: (A5, B6)
Step 36: (A5, B7)
Step 37: (A4, B7)
Step 38: (A4, B6)
Step 39: (A4, B5)
Step 40: (A3, B5)
Step 41: (A3, B4)
Step 42: (A3, B3)
Step 43: (A3, B2)
Step 44: (A4, B2)
Step 45: (A4, B1)
Step 46: (A3, B1)
Step 47: (A3, B2)
Step 48: (A3, B3)
Step 49: (A3, B4)
Step 50: (A3, B5)
Step 51: (A3, B6)
Step 52: (A3, B7)
Step 53: (A2, B7)
Step 54: (A2, B6)
Step 55: (A2, B5)
Step 56: (A2, B4)
Step 57: (A2, B3)
Step 58: (A2, B2)
Step 59: (A2, B1)
Step 60: (A1, B1)
Step 61: (A1, B2)
Step 62: (A1, B3)
Step 63: (A1, B4)
Step 64: (A1, B5)
Step 65: (A1, B6)
Step 66: (A1, B7)
Step 67: (A2, B7)
Step 68: (A3, B7)
Step 69: (A4, B7)
Step 70: (A5, B7)
Step 71: (A6, B7)
Step 72: (A7, B7)
Step 73: (A8, B7)
Step 74: (A9, B7)
Step 75: (A9, B6)
Step 76: (A9, B5)
Step 77: (A9, B4)
Step 78: (A9, B3)
Step 79: (A9, B2)
Step 80: (A9, B1)
